case,model,exit,iters,walltime_s,p_res,U_res,Cd,Cl,U_cl,converged,note
cylinder,fusedKOmegaSST,0,3000,258,1.5994621e-06,1.3491973e-06,1.416868e+00,-7.301540e-05,NA,0,
cylinder,fusedKOmega,0,3000,182,1.407449e-05,1.229808e-06,4.301371e+00,-1.022310e-04,NA,0,
cylinder,fusedKOmegaMenter,0,3000,183,2.0490853e-05,1.1456439e-06,2.925757e+00,-1.032935e-04,NA,0,
cylinder,fusedMixingLength,0,3000,143,6.5878263e-06,7.5928445e-07,2.125913e+00,-3.967199e-04,NA,0,
cylinder,fusedEARSMwj,0,3000,196,5.1406507e-05,1.2513974e-06,1.384035e+00,3.007146e-04,NA,0,
cylinder,fusedEARSMhellsten,0,3000,197,7.4600887e-05,3.1937084e-06,1.383957e+00,1.590074e-04,NA,0,
cylinder,fusedEARSMgs,0,3000,204,1.1179312e-06,9.9571267e-07,1.380709e+00,-7.706709e-05,NA,0,
cylinder,fusedRSM,0,3000,273,3.5716457e-06,9.5116556e-07,1.380784e+00,-7.473151e-05,NA,0,
cylinder,fusedGEP,0,3000,145,5.7138495e-06,1.4547788e-06,3.877273e+00,-1.263480e-03,NA,0,
cylinder,nnMLP-small,0,3000,146,0.00034115295,6.2739206e-06,1.196303e+01,9.474281e-03,NA,0,
cylinder,nnMLP-med,0,3000,158,0.00030892954,5.2519123e-06,1.150174e+01,8.462552e-04,NA,0,
cylinder,nnMLP-large,0,3000,308,0.00037622336,4.8400338e-06,1.188992e+01,8.035219e-03,NA,0,
cylinder,nnTBNN-small,0,3000,169,0.0034063311,8.787844e-05,1.378492e+00,2.368562e-03,NA,0,
cylinder,nnTBNN-med,0,3000,192,0.0023502003,0.00024565055,1.336933e+00,3.660337e-03,NA,0,
cylinder,nnTBNN-large,0,3000,279,0.0022565836,0.00027030319,1.323104e+00,-2.370632e-03,NA,0,
cylinder,nnPITBNN-small,0,3000,166,0.003478643,8.5446721e-05,1.411788e+00,4.904781e-03,NA,0,
cylinder,nnPITBNN-med,0,3000,191,0.0033705384,8.1266767e-05,1.077384e+00,-8.353066e-01,NA,0,
cylinder,nnPITBNN-large,0,3000,287,0.002833247,0.00011535073,1.295989e+00,-3.408781e-03,NA,0,
cylinder,nnTBRF-1t,0,3000,174,0.0012040071,6.1704346e-05,1.255570e+00,5.463922e-02,NA,0,
