case,model,exit,total_ms,turb_ms,p_ms,U_ms,niters,note
cylinder,fusedKOmegaSST,0,44.703267,14.639478,14.686239,3.1927123,20,
cylinder,fusedKOmega,0,43.673127,13.42974,14.700477,3.2140825,20,
cylinder,fusedKOmegaMenter,0,43.916128,13.5239,14.820452,3.2059144,20,
cylinder,fusedMixingLength,0,32.068164,1.0152151,15.719356,3.1604433,20,
cylinder,fusedEARSMwj,0,46.522414,15.770515,15.33549,2.8106285,20,
cylinder,fusedEARSMhellsten,0,45.897786,15.338291,15.172968,2.8059875,20,
cylinder,fusedEARSMgs,0,46.912349,15.760441,15.252444,3.2132781,20,
cylinder,fusedRSM,1,NA,NA,NA,NA,20,nan_or_fatal
cylinder,fusedGEP,0,30.956853,1.018913,14.57962,3.1547781,20,
cylinder,nnMLP-small,0,28.435729,2.7333832,10.85703,2.7891173,20,
cylinder,nnMLP-med,0,29.032853,3.0579952,10.974348,2.8217484,20,
cylinder,nnMLP-large,0,38.096184,11.678958,11.58166,2.7977695,20,
cylinder,nnTBNN-small,0,36.1617,7.8556725,12.852196,2.8352427,20,
cylinder,nnTBNN-med,0,34.60091,8.4236561,11.041,2.5369066,20,
cylinder,nnTBNN-large,0,43.501543,14.038469,14.035924,2.8289894,20,
cylinder,nnPITBNN-small,0,34.702259,7.816129,11.423971,2.8350313,20,
cylinder,nnPITBNN-med,0,38.02162,8.4173448,14.230507,2.816524,20,
cylinder,nnPITBNN-large,0,41.553194,14.090303,11.891513,2.8562016,20,
cylinder,nnTBRF-1t,0,37.88032,7.9369638,14.558525,2.8205052,20,
cylinder,nnTBRF-5t,0,38.699388,8.5505681,14.689636,2.8335177,20,
cylinder,nnTBRF-10t,0,39.674674,9.2983567,14.870682,2.8411602,20,
duct,fusedKOmegaSST,0,97.161435,19.742571,43.3498,7.8868565,20,
duct,fusedKOmega,0,96.884481,20.024276,42.15756,7.8762978,20,
duct,fusedKOmegaMenter,0,96.370901,19.993423,41.765732,7.8522938,20,
duct,fusedMixingLength,0,83.171161,1.8583893,46.430189,7.8880738,20,
duct,fusedEARSMwj,0,97.880972,25.161908,37.448459,7.9147934,20,
