case,model,exit,total_ms,turb_ms,p_ms,U_ms,niters,note
cylinder,fusedEARSMgs,0,46.970888,15.599642,15.324546,3.2601237,20,
cylinder,fusedEARSMhellsten,0,46.700544,15.568439,15.499303,2.8532885,20,
cylinder,fusedEARSMwj,0,47.320689,15.777955,15.767249,2.8779596,20,
cylinder,fusedGEP,0,31.467335,1.0661357,14.802207,3.208564,20,
cylinder,fusedKOmega,0,43.752076,13.427726,14.71651,3.2390176,20,
cylinder,fusedKOmegaSST,0,45.687063,14.846492,15.111445,3.2551346,20,
cylinder,fusedMixingLength,0,32.637061,1.0668731,16.039605,3.2071807,20,
cylinder,nnMLP-large,0,40.417564,13.15848,12.023006,2.8691245,20,
cylinder,nnMLP-med,0,29.647659,3.1620368,11.32234,2.8612741,20,
cylinder,nnMLP-small,0,29.034094,2.8380322,11.095445,2.8511691,20,
cylinder,nnPITBNN-large,0,43.125361,15.238355,12.077961,2.9208351,20,
cylinder,nnPITBNN-med,0,38.511852,8.3839407,14.550883,2.883738,20,
cylinder,nnPITBNN-small,0,35.011931,7.8224475,11.6172,2.8838093,20,
cylinder,nnTBNN-large,0,44.751119,15.168507,13.948425,2.8887982,20,
cylinder,nnTBNN-med,0,35.314221,8.5276962,11.360338,2.6091233,20,
cylinder,nnTBNN-small,0,36.401365,7.7873676,12.9955,2.8866859,20,
cylinder,nnTBRF-10t,0,40.472494,9.3959777,15.197822,2.9954158,20,
cylinder,nnTBRF-1t,0,38.507067,7.9904589,14.822338,2.8807502,20,
cylinder,nnTBRF-5t,0,39.416915,8.6641415,15.027808,2.8963109,20,
duct,fusedEARSMgs,0,95.890668,25.840888,33.735327,8.3981572,20,
duct,fusedEARSMhellsten,0,94.040421,25.678798,32.165315,8.3708082,20,
duct,fusedEARSMwj,0,99.239181,25.762773,37.169503,8.3808638,20,
duct,fusedGEP,0,84.626844,2.026767,46.475538,8.5144799,20,
duct,fusedKOmega,0,99.221009,20.693953,42.614238,8.4122478,20,
duct,fusedKOmegaSST,0,100.64085,20.721108,44.150735,8.4645177,20,
duct,fusedMixingLength,0,85.058519,2.0298373,47.030031,8.5058517,20,
duct,nnMLP-large,0,181.64192,124.20868,24.747997,6.9930226,20,
duct,nnMLP-med,0,74.92847,16.005435,26.162419,7.0075707,20,
duct,nnMLP-small,0,64.518406,7.2477822,24.511973,7.1203133,20,
duct,nnPITBNN-large,0,161.78544,101.46971,25.433737,6.9418004,20,
duct,nnPITBNN-med,0,103.41537,40.129405,28.246394,7.0717913,20,
duct,nnPITBNN-small,0,81.435445,20.932893,25.304648,7.0381105,20,
duct,nnTBNN-large,0,162.16479,101.50372,26.349492,6.1373432,20,
duct,nnTBNN-med,0,98.816891,40.108737,24.780502,5.8746874,20,
duct,nnTBNN-small,0,83.483649,20.901054,28.563015,5.9021117,20,
duct,nnTBRF-10t,0,86.494786,24.138384,27.52002,6.9338057,20,
duct,nnTBRF-1t,0,82.34507,20.355195,27.187513,6.8499548,20,
duct,nnTBRF-5t,0,84.070532,21.753454,27.398506,6.9619902,20,
hills,fusedKOmegaSST,0,310.26588,63.214831,124.91498,18.010283,10,
hills,fusedKOmega,0,296.61993,60.266184,121.6724,17.700831,10,
hills,fusedMixingLength,0,267.08249,4.7115337,147.4129,17.410609,10,
hills,fusedEARSMwj,0,319.02842,87.904749,114.43572,15.237203,10,
hills,fusedEARSMhellsten,0,303.32827,77.637439,111.90303,15.258461,10,
hills,fusedEARSMgs,0,312.30953,75.493134,120.69512,18.148931,10,
hills,fusedGEP,0,266.32692,4.7258128,146.91295,17.455273,10,
hills,nnMLP-small,0,270.24324,20.087063,144.57616,17.74081,10,
hills,nnMLP-med,0,294.17529,45.532696,143.46466,17.736318,10,
hills,nnMLP-large,0,610.19178,358.81437,146.1854,17.696836,10,
hills,nnTBNN-small,0,304.24358,63.225744,126.19484,16.258172,10,
hills,nnTBNN-med,0,339.09472,113.82713,110.26098,16.277567,10,
hills,nnTBNN-large,0,533.7885,289.72173,128.17097,17.159256,10,
hills,nnPITBNN-small,0,291.68636,56.170292,119.92158,17.152168,10,
hills,nnPITBNN-med,0,371.85112,113.81918,141.82799,18.155233,10,
hills,nnPITBNN-large,0,525.05846,289.58234,120.00329,16.797333,10,
hills,nnTBRF-1t,0,279.21443,53.923966,110.86736,15.46105,10,
hills,nnTBRF-5t,0,278.9763,56.426941,108.31643,15.457944,10,
hills,nnTBRF-10t,0,283.89953,60.143071,109.90686,15.424723,10,
sphere,fusedKOmegaSST,0,163.71613,25.5651,90.360548,8.8341346,10,
sphere,fusedKOmega,0,166.57939,28.397766,88.772398,8.8087647,10,
sphere,fusedMixingLength,0,140.64597,2.4684834,89.659693,8.8003343,10,
