case,model,exit,total_ms,turb_ms,p_ms,U_ms,note
cylinder,kOmegaSST,0,139.88534,70.464466,36.672326,6.8644941,
cylinder,nnMLP-small,0,1237.5587,1191.8327,17.834485,6.0503626,
cylinder,nnMLP-med,0,4142.7803,4116.2553,11.210903,2.894461,
cylinder,nnMLP-large,0,13878.277,13744.426,23.144501,18.398112,
cylinder,nnTBNN-small,0,1474.0797,1402.0944,19.608937,6.5061415,
cylinder,nnTBNN-med,0,8950.3339,8755.3072,28.944472,24.849377,
cylinder,nnTBNN-large,124,28656.479,28357.242,39.20947,21.267547,
cylinder,nnPITBNN-small,0,1453.7641,1404.0829,14.283893,4.8083721,
cylinder,nnPITBNN-med,0,8948.2912,8758.4269,34.014569,14.305585,
cylinder,nnPITBNN-large,124,28605.295,28389.868,46.456426,35.577227,
cylinder,nnTBRF-1t,0,160.91759,124.94709,17.694189,2.9680511,
cylinder,nnTBRF-5t,0,871.70808,835.469,15.380345,3.0588078,
cylinder,nnTBRF-10t,0,2094.9336,2062.1984,15.961992,3.0281328,
duct,kOmegaSST,0,124.87979,42.698257,45.596447,8.3671261,
duct,nnMLP-small,0,2379.8207,2320.973,25.105294,7.0931445,
duct,nnMLP-med,0,9672.8322,9089.6814,62.779096,35.650675,
duct,nnMLP-large,0,38461.685,38191.419,126.91037,18.78493,
duct,nnTBNN-small,0,3177.3696,3018.1798,69.82436,8.4653056,
duct,nnTBNN-med,0,19461.949,19330.313,56.119023,12.069401,
duct,nnTBNN-large,0,72988.334,72609.002,81.85251,41.939309,
duct,nnPITBNN-small,0,3156.4923,2974.7161,62.896167,10.946639,
duct,nnPITBNN-med,0,19117.804,18974.814,59.648363,10.480357,
duct,nnPITBNN-large,0,72626.058,72400.326,81.734005,16.821643,
duct,nnTBRF-1t,0,1671.9691,1490.7224,61.183775,11.678525,
duct,nnTBRF-5t,0,11326.128,11190.316,60.068173,9.57957,
duct,nnTBRF-10t,0,29208.946,28958.205,77.34874,22.201341,
