# basis_idx tree_idx start_node n_nodes
0 0 0 6365
0 1 6365 4345
0 2 10710 6043
0 3 16753 4601
0 4 21354 5057
1 0 26411 12643
1 1 39054 12461
1 2 51515 8797
1 3 60312 12483
1 4 72795 8987
2 0 81782 16929
2 1 98711 15925
2 2 114636 17689
2 3 132325 17245
2 4 149570 16931
3 0 166501 17953
3 1 184454 16283
3 2 200737 18207
3 3 218944 18033
3 4 236977 18145
4 0 255122 12935
4 1 268057 11791
4 2 279848 9035
4 3 288883 12501
4 4 301384 9885
5 0 311269 46573
5 1 357842 34661
5 2 392503 38937
5 3 431440 35781
5 4 467221 42879
6 0 510100 67237
6 1 577337 66781
6 2 644118 66003
6 3 710121 67495
6 4 777616 68153
7 0 845769 24067
7 1 869836 60361
7 2 930197 23683
7 3 953880 56489
7 4 1010369 55351
8 0 1065720 53443
8 1 1119163 52503
8 2 1171666 55927
8 3 1227593 58359
8 4 1285952 54417
9 0 1340369 24757
9 1 1365126 14379
9 2 1379505 16421
9 3 1395926 12959
9 4 1408885 23727
